"","region","saleYear","volume","volCS","volShare","volGrowth","medPrice","priceGrowth"
"55","beaux arts",2008,5,20255,0.000246852628980499,0.292643791656381,1030000,-0.138075313807532
"56","beaux arts",2009,6,19232,0.00031198003327787,0.263831114808651,878081.5,-0.147493689320388
"57","beaux arts",2010,7,20732,0.000337642292108817,0.0822560936394634,750000,-0.145865161719043
"58","beaux arts",2011,7,21948,0.00031893566611992,-0.0554036814288317,825000,0.099999999999999
"59","beaux arts",2012,6,28077,0.000213698044662891,-0.329965045105552,1032500,0.251515151515152
"60","beaux arts",2013,6,33382,0.000179737583128632,-0.158917979749566,1272500,0.232445520581114
"61","beaux arts",2014,5,31845,0.00015701051970482,-0.126445805202281,1e+06,-0.214145383104126
"62","beaux arts",2015,8,34417,0.000232443269314583,0.480431182264578,1145206,0.145206
"63","beaux arts",2016,14,33824,0.000413907284768212,0.780680877483443,1462500,0.277062816646088
"64","bellevue",1996,1816,27516,0.0659979648204681,0.00370290399503759,210500,0.0193704600484264
"65","bellevue",1997,2061,31821,0.064768549071368,-0.0186280857666511,239950,0.139904988123517
"66","bellevue",1998,2175,34021,0.0639311013785603,-0.0129298510591136,263950,0.100020837674516
"67","bellevue",1999,2297,33331,0.0689148240376826,0.0779545878556329,296000,0.121424512218222
"68","bellevue",2000,2093,31196,0.067091934863444,-0.0264513361195244,329000,0.111486486486488
"69","bellevue",2001,1682,30855,0.0545130448873764,-0.187487363446443,328750,-0.000759878419453686
"70","bellevue",2002,1837,33613,0.0546514741320323,0.0025393783257166,349500,0.0631178707224331
"71","bellevue",2003,2154,39941,0.0539295460804687,-0.0132096720725128,355000,0.0157367668097286
"72","bellevue",2004,2243,43322,0.0517750796362125,-0.039949649141149,407000,0.146478873239436
"73","bellevue",2005,2356,45181,0.0521458135056772,0.00716046932364955,487250,0.197174447174447
"74","bellevue",2006,2024,39609,0.0510994975889318,-0.0200651950061423,585250,0.20112878399179
"75","bellevue",2007,1737,31419,0.0552850186193068,0.0819092403617205,675000,0.15335326783426
"76","bellevue",2008,994,20255,0.0490743026413231,-0.112339945487777,590800,-0.124740740740741
"77","bellevue",2009,1032,19232,0.0536605657237937,0.0934554916855546,529000,-0.104603926878809
"78","bellevue",2010,1275,20732,0.0614991317769632,0.146076843347437,532000,0.00567107750472595
"79","bellevue",2011,1347,21948,0.061372334609076,-0.00206177167422505,512000,-0.0375939849624054
